suburb,suburb_state,numCrimes
Deauville,NSW,1
New Buildings,NSW,0
Paling Yards,NSW,2
Neilrex,NSW,2
Violet Hill,NSW,0
Uriarra,NSW,0
Verges Creek,NSW,11
South Bathurst,NSW,181
Kensington,NSW,726
Rous,NSW,19
West Coraki,NSW,2
Lake Munmorah,NSW,274
Devils Hole,NSW,0
Pymble,NSW,282
Taminda,NSW,136
Markwell,NSW,6
State Mine Gully,NSW,1
Breakfast Point,NSW,65
Wattle Springs,NSW,3
Liverpool,NSW,12315
Oakdale,NSW,57
Pemulwuy,NSW,214
Moonbi,NSW,37
Dairy Arm,NSW,0
Bungonia,NSW,24
Jennings,NSW,12
Eastern Creek,NSW,674
Glendon Brook,NSW,7
Point Frederick,NSW,93
Rangers Valley,NSW,0
Fairlight,NSW,99
Gravesend,NSW,16
Retreat,NSW,2
Sunny Corner,NSW,6
Copeton,NSW,15
Lindesay,NSW,0
East Coraki,NSW,8
Jones Bridge,NSW,0
Blair Athol,NSW,44
Neurea,NSW,6
Bankstown,NSW,7019
Rob Roy,NSW,2
Galambine,NSW,0
Kentlyn,NSW,61
Alstonvale,NSW,3
Pleasure Point,NSW,4
Argalong,NSW,5
Bella Vista,NSW,223
Torrington,NSW,15
Mathoura,NSW,54
Cootralantra,NSW,1
Telegraph Point,NSW,29
Exeter,NSW,49
Bankstown Aerodrome,NSW,75
Mystery Bay,NSW,12
Sandy Point,NSW,11
Colongra,NSW,0
Bidgeemia,NSW,3
Ryde,NSW,1225
Chippendale,NSW,850
Sydenham,NSW,1469
Garah,NSW,16
Dalgety,NSW,8
Wallanthery,NSW,0
Rathmines,NSW,80
Laverstock,NSW,0
Eastgardens,NSW,544
Brundee,NSW,1
Swan Creek,NSW,5
Tullarwalla,NSW,1
Forest Grove,NSW,1
Alpine,NSW,16
Wollangambe,NSW,0
Windsor,NSW,1535
Forest Lodge,NSW,259
Bowan Park,NSW,4
Mount David,NSW,1
Scone,NSW,468
Ballina,NSW,1386
Wrathall,NSW,0
Tarcutta,NSW,31
Brungle,NSW,8
Jiggi,NSW,40
Benolong,NSW,1
Tuena,NSW,5
Adaminaby,NSW,27
Newbridge,NSW,8
Mungay Creek,NSW,2
Hassall Grove,NSW,249
North Bondi,NSW,311
North Macksville,NSW,35
Townsend,NSW,42
Numulgi,NSW,0
The Gulf,NSW,0
Kikiamah,NSW,4
Tottenham,NSW,31
Rydal,NSW,7
Hilldale,NSW,4
Clarendon,NSW,143
Murrulebale,NSW,4
Hamilton,NSW,2070
Pomona,NSW,1
Girralong,NSW,0
North Lambton,NSW,251
Warrell Creek,NSW,9
Wollomombi,NSW,6
Cairncross,NSW,0
Whiporie,NSW,8
Hallidays Point,NSW,18
Cessnock,NSW,2486
Havilah,NSW,0
Mogendoura,NSW,2
Nerong,NSW,12
Bourke,NSW,1102
Williamtown,NSW,115
Tarriaro,NSW,3
Barwang,NSW,3
Joadja,NSW,8
Yullundry,NSW,0
Fairy Hill,NSW,12
Upper Rollands Plains,NSW,2
Geurie,NSW,35
Edderton,NSW,0
Anglers Reach,NSW,3
Eurongilly,NSW,5
Waterloo,NSW,1929
Mangoola,NSW,1
Mount Werong,NSW,4
Bimbi,NSW,3
Kotara,NSW,561
Coolumburra,NSW,0
Stanhope,NSW,3
Billys Creek,NSW,3
Glenworth Valley,NSW,95
Lansvale,NSW,199
South Littleton,NSW,8
Wellington,NSW,1487
Frying Pan,NSW,0
Tarban,NSW,2
Wanganella,NSW,5
Eulah Creek,NSW,3
Coolongolook,NSW,38
Tweed Heads South,NSW,873
Mulla Creek,NSW,0
Oallen,NSW,15
Daysdale,NSW,3
Saumarez Ponds,NSW,3
Windale,NSW,659
Glendon,NSW,1
Lewisham,NSW,267
Jemalong,NSW,1
Liston,NSW,2
Sadleir,NSW,247
Kayuga,NSW,2
Kelso,NSW,1029
Tarraganda,NSW,9
Colo Heights,NSW,21
Knights Hill,NSW,0
Kirkconnell,NSW,0
Forresters Beach,NSW,99
Yannergee,NSW,1
Para,NSW,0
Upper Karuah River,NSW,1
Wiangaree,NSW,12
Mangrove Mountain,NSW,28
Clovelly,NSW,153
Brawboy,NSW,0
Doyalson North,NSW,47
Stony Chute,NSW,14
Karabar,NSW,530
Tamworth,NSW,1333
Hayters Hill,NSW,0
Lovett Bay,NSW,12
Northwood,NSW,16
Rouse Hill,NSW,717
Broughton Vale,NSW,3
Belfrayden,NSW,0
Splitters Creek,NSW,2
Taralga,NSW,32
Dombarton,NSW,2
Tongarra,NSW,4
Weemelah,NSW,5
Toormina,NSW,691
Gowan,NSW,3
Howards Grass,NSW,8
Kielvale,NSW,0
Killiekrankie,NSW,0
Fernances Crossing,NSW,0
Yanga,NSW,1
Amaroo,NSW,0
Upper Turon,NSW,1
Boomanoomana,NSW,1
Gundagai,NSW,203
Boydtown,NSW,1
Bungawalbin,NSW,3
Girards Hill,NSW,104
Dharruk,NSW,268
Stuarts Point,NSW,59
Bagnoo,NSW,0
Nericon,NSW,12
Old Adaminaby,NSW,3
Cheltenham,NSW,42
Charlestown,NSW,1675
Crookwell,NSW,68
Cornwallis,NSW,10
Vittoria,NSW,2
Lugarno,NSW,155
Bendick Murrell,NSW,7
Carcalgong,NSW,2
Pelton,NSW,12
Reddestone,NSW,1
Bonnet Bay,NSW,23
Summer Hill Creek,NSW,2
Trenayr,NSW,8
Horsfield Bay,NSW,11
Woodford Island,NSW,9
Biddon,NSW,3
Berremangra,NSW,2
Islington,NSW,354
Bevendale,NSW,5
Gulf Creek,NSW,2
Cathundral,NSW,4
Coffee Camp,NSW,6
Upper Corindi,NSW,14
Forestville,NSW,153
Lower Bottle Creek,NSW,2
North Brother,NSW,0
Pine Grove,NSW,2
Lorn,NSW,48
Rowan,NSW,3
Pitnacree,NSW,37
Oberon,NSW,265
McMahons Point,NSW,79
Branxton,NSW,132
Cangai,NSW,3
Cataract,NSW,14
Wheeo,NSW,0
East Wardell,NSW,8
One Mile,NSW,45
Lakewood,NSW,38
Condobolin,NSW,446
Blue Bay,NSW,55
Wollemi,NSW,0
Carey Bay,NSW,23
Little Jilliby,NSW,7
Vacy,NSW,9
Miranda,NSW,3105
Cunjurong Point,NSW,2
Mumbil,NSW,28
Forbes River,NSW,0
Bungendore,NSW,175
Hamilton Valley,NSW,54
Rocky River,NSW,9
Gragin,NSW,0
Hampden Hall,NSW,5
Michelago,NSW,18
Mandalong,NSW,27
Spring Hill,NSW,48
Toukley,NSW,678
Lochinvar,NSW,50
Wee Jasper,NSW,129
Valla,NSW,83
Wambrook,NSW,0
Narrabeen,NSW,415
Howell,NSW,2
Kingsgate,NSW,0
Woodhouselee,NSW,2
Tyalgum Creek,NSW,3
Ballalaba,NSW,1
Mullengandra,NSW,4
Terranora,NSW,66
Corobimilla,NSW,1
Mount Rankin,NSW,2
Corrabare,NSW,0
Monak,NSW,13
Keinbah,NSW,1
The Marra,NSW,9
Cameron Park,NSW,349
Sussex Inlet,NSW,194
Bootawa,NSW,9
Lower Peacock,NSW,0
Lloyd,NSW,35
North Manly,NSW,163
Bretti,NSW,0
Toorooka,NSW,10
East Kangaloon,NSW,3
Cumborah,NSW,40
Belimbla Park,NSW,15
Fishermans Reach,NSW,22
Gwabegar,NSW,8
Red Rock,NSW,27
Edith,NSW,3
Lake Innes,NSW,13
The Brothers,NSW,0
Mount Fairy,NSW,0
Hyams Beach,NSW,14
Kooringal,NSW,869
Milkers Flat,NSW,0
Dapto,NSW,1172
Bringelly,NSW,163
The Entrance North,NSW,137
Box Ridge,NSW,3
Mindaribba,NSW,8
Ashby,NSW,7
Breelong,NSW,1
Burnt Yards,NSW,2
Darkes Forest,NSW,5
Wyanbene,NSW,1
Sefton,NSW,362
Nundle,NSW,41
Dignams Creek,NSW,3
Camberwell,NSW,10
Uranquinty,NSW,33
North Wahroonga,NSW,23
Lerida,NSW,3
Gostwyck,NSW,0
Murringo,NSW,18
Jerrawangala,NSW,9
Middlingbank,NSW,3
Ewingsdale,NSW,39
Upper Kangaroo Valley,NSW,0
Clontarf,NSW,70
Martinsville,NSW,9
Mogareeka,NSW,1
Beechwood,NSW,29
Collum Collum,NSW,0
Galore,NSW,6
Blackbutt,NSW,537
Erina,NSW,769
Candelo,NSW,17
Cardiff Heights,NSW,36
Kyeemagh,NSW,78
Calala,NSW,70
Sydney Olympic Park,NSW,921
Cudal,NSW,24
Boomi Creek,NSW,1
Gerroa,NSW,25
Millfield,NSW,46
Larnook,NSW,24
Porters Retreat,NSW,3
Pallamallawa,NSW,22
Lynchs Creek,NSW,7
Wildes Meadow,NSW,14
Toothdale,NSW,5
Bungalora,NSW,1
Dungeree,NSW,2
Binjura,NSW,10
Ramornie,NSW,16
Murrays Run,NSW,7
Pampoolah,NSW,8
Campsie,NSW,3146
Crackenback,NSW,5
Tiona,NSW,2
Ingleburn,NSW,2464
Castlecrag,NSW,47
Blaxlands Ridge,NSW,20
Mount Victoria,NSW,99
Myalla,NSW,0
Howlong,NSW,110
