suburb,suburb_state,numCrimes
Monash,SA,29
Dismal swamp,SA,2
Seacombe heights,SA,23
Kensington,SA,52
Kangaroo flat,SA,2
Bolivar,SA,185
Gawler,SA,193
Warradale,SA,123
Nyapari,SA,3
Cowell,SA,14
Royal park,SA,165
Somerton park,SA,102
Uraidla,SA,4
Highgate,SA,13
Curramulka,SA,3
Cleve,SA,6
Erith,SA,1
Davoren park,SA,460
Welland,SA,67
Worlds end,SA,1
Bower,SA,1
Hyde park,SA,35
Tarpeena,SA,13
West hindmarsh,SA,74
Bowmans,SA,2
Tranmere,SA,99
Murninnie beach,SA,1
Tatachilla,SA,7
Basket range,SA,5
Renown park,SA,91
Blanchetown,SA,12
Kybunga,SA,1
Harrogate,SA,1
Blewitt springs,SA,2
Ottoway,SA,75
Hahndorf,SA,46
Cungena,SA,1
Umuwa,SA,3
Port noarlunga south,SA,62
Edillilie,SA,1
Hewett,SA,22
Mil-lel,SA,1
White sands,SA,2
Port elliot,SA,30
Huntfield heights,SA,166
Beaumont,SA,22
Robertstown,SA,11
O'sullivans beach,SA,1
Bakara,SA,1
Montacute,SA,2
Elizabeth grove,SA,132
Quorn,SA,13
Jupiter creek,SA,2
Karatta,SA,2
Hartley,SA,2
Summertown,SA,6
Waterloo corner,SA,29
Bugle ranges,SA,5
Risdon park,SA,101
Hindmarsh valley,SA,6
Semaphore,SA,124
Largs bay,SA,116
Mount jagged,SA,1
Two wells,SA,82
North adelaide,SA,257
Yumali,SA,1
Kingston s.e.,SA,1
Moonta,SA,52
Robe,SA,17
Novar gardens,SA,34
Kanmantoo,SA,5
Hawthorn,SA,62
Tusmore,SA,10
Park holme,SA,125
Duck ponds,SA,1
Carpenter rocks,SA,2
Moana,SA,41
Gum creek,SA,1
Colonel light gardens,SA,52
Elizabeth south,SA,298
Clarendon,SA,12
Bussleton,SA,1
Highland valley,SA,1
Sedan,SA,2
Coonawarra,SA,2
Oak valley,SA,2
Ramco,SA,12
Brunswick,SA,1
Cannawigara,SA,1
Wynn vale,SA,94
Houghton,SA,5
Berri,SA,150
Flaxman valley,SA,1
Port broughton,SA,16
Murbko,SA,1
Onkaparinga hills,SA,16
Fulham gardens,SA,106
Gumeracha,SA,12
Rockleigh,SA,1
Cowandilla,SA,40
Pennington,SA,221
Edwardstown,SA,289
Torrens park,SA,51
Winkie,SA,3
Lower hermitage,SA,1
Penwortham,SA,1
Reservoir,SA,1
Salisbury plain,SA,49
Clare,SA,48
Payneham,SA,53
Thebarton,SA,88
Renmark north,SA,3
Geranium plains,SA,1
Trott park,SA,24
Bibaringa,SA,3
Whyalla,SA,119
Beverley,SA,61
Calomba,SA,1
Cudlee creek,SA,11
College park,SA,16
Kanpi,SA,6
Pipalyatjara,SA,17
Port augusta west,SA,147
Olympic dam,SA,12
Piccadilly,SA,2
Alma,SA,1
Katarapko,SA,1
Lower inman valley,SA,4
Richmond,SA,98
Royston park,SA,16
St peters,SA,70
Marrabel,SA,1
Sheidow park,SA,77
Hove,SA,27
Blanche harbor,SA,1
Brompton,SA,242
Hampstead gardens,SA,57
Allenby gardens,SA,48
Export park,SA,2
Glenalta,SA,9
Elizabeth park,SA,290
Port neill,SA,5
Macs beach,SA,1
Swan reach,SA,3
Sandilands,SA,2
Para vista,SA,88
Bungama,SA,1
Golden heights,SA,1
Surrey downs,SA,70
Mount burr,SA,8
Edinburgh north,SA,23
O'sullivan beach,SA,49
Roxby downs,SA,83
Salisbury heights,SA,73
Lucindale,SA,6
Brighton,SA,165
Windsor gardens,SA,153
Glencoe,SA,1
West croydon,SA,165
Skye,SA,1
Mccracken,SA,17
Port macdonnell,SA,11
Port paterson,SA,4
Redwood park,SA,63
Wirrina cove,SA,8
Minvalara,SA,1
Croydon park,SA,131
Loveday,SA,3
Coromandel east,SA,3
Clinton,SA,1
Manningham,SA,25
Peterhead,SA,84
Cheltenham,SA,80
Telowie,SA,2
Cockatoo valley,SA,5
