suburb,suburb_state,numCrimes
corunnun,VIC,3
mount scobie,VIC,1
victoria valley,VIC,11
perry bridge,VIC,17
inverloch,VIC,1394
lauriston,VIC,21
goorambat,VIC,34
mount rowan,VIC,44
wulgulmerang,VIC,6
kaniva,VIC,188
lemnos,VIC,43
gooram,VIC,17
cobbannah,VIC,4
calder park,VIC,197
whorouly south,VIC,1
bannerton,VIC,5
delacombe,VIC,2562
meadow creek,VIC,25
howes creek,VIC,2
ballendella,VIC,15
taylors lakes,VIC,6726
eltham north,VIC,694
leitchville,VIC,138
tatong,VIC,35
lurg,VIC,7
jam jerrup,VIC,17
korobeit,VIC,1
combienbar,VIC,22
lake rowan,VIC,19
mount alfred,VIC,18
colignan,VIC,87
krowera,VIC,23
lower plenty,VIC,742
moolort,VIC,11
heathmere,VIC,43
chelsea heights,VIC,1601
peronne,VIC,4
jindivick,VIC,81
nug nug,VIC,12
youarang,VIC,7
gringegalgona,VIC,2
trentham,VIC,199
bookaar,VIC,30
lake bunga,VIC,22
hesse,VIC,4
browns plains,VIC,10
simson,VIC,13
williams landing,VIC,1402
dookie,VIC,92
point henry,VIC,5
peechelba,VIC,30
lower moira,VIC,9
burramine,VIC,31
albanvale,VIC,1187
vervale,VIC,17
chepstowe,VIC,12
childers,VIC,25
galah,VIC,4
eagle point,VIC,132
goyura,VIC,1
minto,VIC,2
kenley,VIC,4
mount doran,VIC,12
inglewood,VIC,233
neerim east,VIC,68
pentland hills,VIC,59
barjarg,VIC,24
millgrove,VIC,411
caringal,VIC,4
bruarong,VIC,9
spotswood,VIC,1389
mount best,VIC,6
kelvin view,VIC,10
torrita,VIC,4
lancefield,VIC,451
wallagaraugh,VIC,1
dobie,VIC,39
johnsonville,VIC,44
laceby,VIC,14
spargo creek,VIC,9
byaduk north,VIC,8
tooan,VIC,1
gobur,VIC,12
wal wal,VIC,7
glenlofty,VIC,2
walmer,VIC,36
summerfield,VIC,4
pirron yallock,VIC,30
buckley,VIC,20
yalca,VIC,41
picola,VIC,71
drysdale,VIC,966
dingley village,VIC,1897
nullawil,VIC,8
barkstead,VIC,1
cabarita,VIC,49
howqua hills,VIC,4
amherst,VIC,18
cathcart,VIC,17
rokeby,VIC,20
noorinbee north,VIC,2
drummartin,VIC,3
kyvalley,VIC,1
granite flat,VIC,2
gisborne,VIC,2088
wonnangatta,VIC,6
darnum,VIC,144
willung,VIC,16
cassilis,VIC,5
musk,VIC,20
moonee ponds,VIC,7638
melton south,VIC,5685
goongerah,VIC,12
byrneside,VIC,31
merricks north,VIC,46
katunga,VIC,126
gladysdale,VIC,40
viewbank,VIC,878
maffra,VIC,1935
orbost,VIC,1326
wye river,VIC,31
warragul,VIC,6718
burnside,VIC,1340
kilcunda,VIC,102
callignee,VIC,50
murchison,VIC,397
barunah plains,VIC,1
wangaratta,VIC,10902
areegra,VIC,2
lismore,VIC,136
bobinawarrah,VIC,12
tremont,VIC,54
pykes creek weir,VIC,3
panton hill,VIC,148
kingsbury,VIC,1348
merbein south,VIC,49
thurla,VIC,2
ullswater,VIC,5
strathbogie,VIC,40
alphington,VIC,1357
mallacoota,VIC,344
charlton,VIC,267
narre warren east,VIC,88
jallukar,VIC,2
brookville,VIC,4
welshpool,VIC,69
bael bael,VIC,3
timbarra,VIC,2
eltham,VIC,5027
colac colac,VIC,7
watchem west,VIC,10
tutye,VIC,6
nhill,VIC,422
caulfield south,VIC,2162
corringle,VIC,13
cashmore,VIC,19
carag carag,VIC,9
eildon,VIC,433
winslow,VIC,13
pearsondale,VIC,11
tarraville,VIC,35
rosebery,VIC,1
mortchup,VIC,1
colquhoun,VIC,1
lah,VIC,3
barep,VIC,3
whitelaw,VIC,2
mailors flat,VIC,51
heath hill,VIC,22
franklinford,VIC,8
gateway island,VIC,1
cranbourne north,VIC,4903
talbotville,VIC,1
sutton grange,VIC,6
cabanandra,VIC,1
tongala,VIC,465
chillingollah,VIC,1
five ways,VIC,16
burnbank,VIC,12
tyabb,VIC,1033
nayook,VIC,98
mount bute,VIC,3
mornington,VIC,10183
malvern east,VIC,8202
rosewhite,VIC,5
dandenong north,VIC,6575
locksley,VIC,49
kinglake,VIC,346
newport west,VIC,1
doncaster,VIC,7500
huntly,VIC,359
narracan,VIC,38
gunbower,VIC,110
mount richmond,VIC,18
ancona,VIC,14
denver,VIC,10
benalla,VIC,5311
knebsworth,VIC,1
tanjil bren,VIC,5
la trobe university,VIC,1
burwood east,VIC,2263
tooroonga falls,VIC,3
kongwak,VIC,50
hawthorn,VIC,7754
marong,VIC,184
carranballac,VIC,9
a1 mine settlement,VIC,4
glenlee,VIC,2
tallarook,VIC,297
yabba north,VIC,11
camberwell south,VIC,1
trawalla,VIC,110
joyces creek,VIC,5
gowangardie,VIC,1
nintingbool,VIC,13
koonoomoo,VIC,359
tarwin,VIC,10
carboor,VIC,1
beveridge,VIC,692
manor lakes,VIC,3
gisborne south,VIC,197
newport,VIC,4085
mead,VIC,7
chesney vale,VIC,6
mordialloc,VIC,3620
ovens,VIC,20
bunyip north,VIC,6
cowes east,VIC,17
lake mokoan,VIC,1
yallourn,VIC,18
weerite,VIC,11
kilmore,VIC,2745
kyneton south,VIC,3
elwood,VIC,4940
port fairy,VIC,790
smoko,VIC,7
glenbrae,VIC,5
mount wallace,VIC,37
koonwarra,VIC,32
tooradin,VIC,463
