Suburb/Town Name,Offence Count
MELBOURNE,2460
MELBOURNE,36
MELBOURNE,1
MELBOURNE,806
MELBOURNE,49
MELBOURNE,9
MELBOURNE,15
MELBOURNE,689
MELBOURNE,210
MELBOURNE,701
MELBOURNE,1505
MELBOURNE,402
MELBOURNE,370
MELBOURNE,30
MELBOURNE,6443
MELBOURNE,180
MELBOURNE,2
MELBOURNE,2846
MELBOURNE,87
MELBOURNE,27
MELBOURNE,4
MELBOURNE,59
MELBOURNE,1
MELBOURNE,138
MELBOURNE,16
MELBOURNE,775
MELBOURNE,2
MELBOURNE,403
MELBOURNE,4299
MELBOURNE,317
MELBOURNE,7
MELBOURNE,410
MELBOURNE,1650
MELBOURNE,33
MELBOURNE,45
MELBOURNE,19
EAST MELBOURNE,94
EAST MELBOURNE,2
EAST MELBOURNE,40
EAST MELBOURNE,3
EAST MELBOURNE,1
EAST MELBOURNE,2
EAST MELBOURNE,84
EAST MELBOURNE,37
EAST MELBOURNE,127
EAST MELBOURNE,5
EAST MELBOURNE,27
EAST MELBOURNE,11
EAST MELBOURNE,2
EAST MELBOURNE,101
EAST MELBOURNE,3
EAST MELBOURNE,29
EAST MELBOURNE,2
EAST MELBOURNE,5
EAST MELBOURNE,32
EAST MELBOURNE,3
EAST MELBOURNE,110
EAST MELBOURNE,3
EAST MELBOURNE,10
EAST MELBOURNE,52
EAST MELBOURNE,2
EAST MELBOURNE,1
WEST MELBOURNE,77
WEST MELBOURNE,2
WEST MELBOURNE,42
WEST MELBOURNE,3
WEST MELBOURNE,4
WEST MELBOURNE,55
WEST MELBOURNE,34
WEST MELBOURNE,72
WEST MELBOURNE,6
WEST MELBOURNE,8
WEST MELBOURNE,7
WEST MELBOURNE,1
WEST MELBOURNE,74
WEST MELBOURNE,1
WEST MELBOURNE,98
WEST MELBOURNE,1
WEST MELBOURNE,2
WEST MELBOURNE,15
WEST MELBOURNE,15
WEST MELBOURNE,46
WEST MELBOURNE,1
WEST MELBOURNE,15
WEST MELBOURNE,28
WEST MELBOURNE,2
WEST MELBOURNE,17
MELBOURNE,6
MELBOURNE,2
MELBOURNE,1
MELBOURNE,141
MELBOURNE,5
MELBOURNE,28
MELBOURNE,1
MELBOURNE,4
SOUTH WHARF,7
SOUTH WHARF,5
SOUTH WHARF,3
SOUTH WHARF,2
SOUTH WHARF,27
SOUTH WHARF,1
SOUTH WHARF,30
SOUTH WHARF,1
SOUTH WHARF,17
SOUTH WHARF,2
SOUTH WHARF,2
SOUTH WHARF,1
SOUTH WHARF,1
SOUTH WHARF,1
SOUTH WHARF,1
SOUTHBANK,258
SOUTHBANK,6
SOUTHBANK,136
SOUTHBANK,2
SOUTHBANK,1
SOUTHBANK,1
SOUTHBANK,82
SOUTHBANK,49
SOUTHBANK,214
SOUTHBANK,19
SOUTHBANK,47
SOUTHBANK,13
SOUTHBANK,1
SOUTHBANK,296
SOUTHBANK,3
SOUTHBANK,228
SOUTHBANK,7
SOUTHBANK,2
SOUTHBANK,12
SOUTHBANK,1
SOUTHBANK,52
SOUTHBANK,29
SOUTHBANK,360
SOUTHBANK,18
SOUTHBANK,12
SOUTHBANK,20
SOUTHBANK,1
SOUTHBANK,22
DOCKLANDS,101
DOCKLANDS,3
DOCKLANDS,71
DOCKLANDS,2
DOCKLANDS,3
DOCKLANDS,32
DOCKLANDS,19
DOCKLANDS,55
DOCKLANDS,97
DOCKLANDS,14
DOCKLANDS,13
DOCKLANDS,169
DOCKLANDS,2
DOCKLANDS,181
DOCKLANDS,2
DOCKLANDS,9
DOCKLANDS,3
DOCKLANDS,43
DOCKLANDS,18
DOCKLANDS,129
DOCKLANDS,14
DOCKLANDS,11
DOCKLANDS,22
DOCKLANDS,30
DOCKLANDS,3
DOCKLANDS,2
DOCKLANDS,1
FOOTSCRAY,355
FOOTSCRAY,5
FOOTSCRAY,259
FOOTSCRAY,10
FOOTSCRAY,2
FOOTSCRAY,17
FOOTSCRAY,188
FOOTSCRAY,127
FOOTSCRAY,319
FOOTSCRAY,175
